,team1,playoff,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2,quality,game_predict
0,MEM,0,NOPNOPSASSASDALDALHOUHOU,12847.4640254802,11526.25300081786,6.363126030915775,1.6368739690842242,1009,909,400,8
1,DAL,0,MEMHOUHOUNOPNOPSASMEMSAS,12294.89786536411,11527.32199875921,5.842854953365437,2.1571450466345623,943,892,310,7
2,NOP,0,DALHOUMEMSASHOUDALSASMEM,12307.49684314429,11681.258108352471,5.701466077216869,2.2985339227831307,960,865,353,6
3,HOU,0,MEMSASDALDALMEMSASNOPNOP,10566.09709259932,11868.46804733774,3.335234249995929,4.6647657500040705,901,928,125,2
4,SAS,0,MEMNOPNOPHOUDALHOUDALMEM,10857.03237876856,12057.83387603589,3.45098626401639,4.54901373598361,932,990,182,1
