,team1,playoff,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2,quality,game_predict
0,DEN,0,OKCUTAUTAPORPORMINOKCMIN,12599.13667233146,11907.52866392444,5.910115842045388,2.0898841579546117,963,879,473,8
1,MIN,0,OKCUTAOKCDENPORUTADENPOR,12054.78772841874,11834.08880734844,5.278199735484649,2.721800264515351,964,923,313,7
2,UTA,0,DENPORMINMINOKCPOROKCDEN,11895.69859287939,11877.0293720963,5.087937171119533,2.9120628288804666,911,953,241,5
3,OKC,0,MINDENDENMINPORPORUTAUTA,11423.51534678342,11902.34951239299,4.443495156522419,3.55650484347758,935,922,190,3
4,POR,0,DENUTADENMINMINUTAOKCOKC,11339.07584394843,12211.79231110536,3.8976235547278115,4.1023764452721885,1000,959,350,1
