,team1,playoff,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2,quality,game_predict
0,MIA,0,CHOCHOWASWASORLATLATLORL,12373.60216074952,11765.8462609868,5.844479380831805,2.155520619168195,952,891,393,8
1,ATL,0,ORLCHOMIAORLMIACHOWASWAS,12189.73775215083,11771.33994075325,5.58703964709134,2.412960352908659,930,925,326,8
2,WAS,0,MIACHOORLCHOATLATLORLMIA,11826.22172525987,11858.49882078571,5.0410112553054836,2.9589887446945164,919,890,248,6
3,CHO,0,WASWASATLMIAORLATLMIAORL,11319.77512228126,11932.3188347063,4.248597913950624,3.7514020860493758,916,943,236,3
4,ORL,0,CHOCHOATLATLWASMIAMIAWAS,11174.34709235274,12062.22314320153,3.878855643645667,4.121144356354333,912,906,200,0
