,team1,playoff,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2,quality,game_predict
0,BOS,0,PHINYKBRKPHIBRKNYKTORTOR,13189.71065178228,12512.831642730871,5.9253823777566135,2.0746176222433865,940,873,699,8
1,PHI,0,NYKBRKTORBRKNYKBOSTORBOS,12803.80118397533,12501.13211648337,5.480893556948967,2.519106443051033,906,875,643,7
2,NYK,0,BOSTORPHITORPHIBRKBOSBRK,12487.77670436322,12471.908101516081,5.080614204486826,2.9193857955131737,940,903,614,5
3,BRK,0,TORNYKTORBOSBOSNYKPHIPHI,12374.04377462468,12681.00976710077,4.692407807645409,3.3075921923545906,850,857,538,5
4,TOR,0,PHIPHIBRKBOSBRKNYKBOSNYK,12157.90583410201,12648.87669374166,4.427888668128483,3.5721113318715165,870,902,594,4
