,team1,playoff,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2,quality,game_predict
0,DEN,0,MEMGSWMEMGSW,6358.59224517873,6337.40241391985,2.578856976616019,1.4211430233839804,464,415,316,3
1,MEM,0,DENGSWGSW,4751.34958857194,4717.54184170924,1.958324211432152,1.041675788567848,376,323,239,3
2,GSW,0,DENMEMMEM,4761.48995237466,4771.45192775682,1.8666775429469453,1.1333224570530547,368,357,236,1
