,team1,playoff,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2,quality,game_predict
0,GSW,0,LALSACSACLACPHOLALLACPHO,12664.79076597534,11827.99774597618,6.009249371248708,1.9907506287512915,947,891,441,7
1,PHO,0,GSWGSWLALLALSACLACSACLAC,12660.234373757361,12286.16580739765,5.547860872790033,2.452139127209967,969,905,424,7
2,LAC,0,PHOLALSACPHOGSWSACGSWLAL,12142.39481038764,12229.79491830236,4.986710960259349,3.0132890397406507,968,991,448,4
3,LAL,0,LACSACSACLACGSWGSWPHOPHO,11890.63319829115,12196.79005068306,4.698723747785452,3.3012762522145476,917,906,375,4
4,SAC,0,LACGSWPHOLALLALLACPHOGSW,11992.14360800248,12325.05160407798,4.640206259629521,3.359793740370479,976,977,367,4
