,elo1_pre,elo2_pre,elo_prob1,elo_prob2,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,raptor_offense,raptor_defense,raptor_box_total,war_total,date,team1,team2
0,1561.52419307645,1607.05768800629,0.5777477344226492,0.4222522655773508,1633.0,1617.0,0.653167118778625,0.346832881221375,105,87,-0.9973401158941715,0.1084042167474989,-0.7241889900533046,1.2071237995547812,2018-10-16,BOS,PHI
1,1684.81639332058,1584.31796754194,0.7602702501736928,0.2397297498263072,1751.0,1625.0,0.786929345102874,0.213070654897126,108,100,-0.7780439997772083,-0.30583769790167864,-0.7073813706539678,1.8167761201555217,2018-10-16,GSW,OKC
2,1377.81371406097,1499.31649957452,0.4690944539671299,0.53090554603287,1422.36673370705,1502.70881715826,0.52028898530632,0.47971101469368,104,101,-1.5554539901093272,-0.17653523295047255,-2.0952589483612067,0.7374666025737066,2018-10-17,ORL,MIA
3,1554.98701040687,1367.42729249214,0.8396096836150275,0.1603903163849724,1519.56522015057,1435.78867965027,0.743293997235682,0.256706002764318,111,83,-0.875367607351667,-0.09001741846878158,-1.1300748012176458,1.1697725387980216,2018-10-17,IND,MEM
4,1492.02538132293,1432.381865571,0.714834625369504,0.2851653746304959,1488.71884085254,1454.66068992638,0.688780615802119,0.311219384197881,103,100,-1.3100424250935774,-1.0661913995030223,-2.275513255149125,0.9000706849048589,2018-10-17,DET,BRK
5,1409.59080533561,1388.02304712837,0.6681434878780063,0.3318565121219937,1326.24851008372,1373.37270429255,0.571413051673314,0.428586948326686,126,107,-2.1635353359348684,-0.39897094189553856,-2.447883090566853,0.8564480154123223,2018-10-17,NYK,ATL
6,1576.53442110228,1558.68467060228,0.6633809861562292,0.3366190138437708,1655.44047476684,1396.48645975726,0.885089573354498,0.114910426645502,116,104,-1.1157164179627757,-0.7293068263975712,-1.5565714537862523,1.3189254637487082,2018-10-17,TOR,CLE
7,1654.09590735621,1565.01297220882,0.748089521106428,0.251910478893572,1662.49500267399,1554.8593443641,0.762027468446549,0.237972531553451,112,131,-1.5589888251231927,-0.5273973877918952,-1.8992068717762298,1.1910195828538201,2018-10-17,HOU,NOP
8,1539.71229759499,1537.05262716848,0.6435845964566372,0.3564154035433627,1472.04246127682,1559.0,0.525614110548782,0.474385889451218,112,108,-0.25658330726637635,0.23859015539868522,-0.14182209286332043,1.5493960661958228,2018-10-17,SAS,MIN
9,1396.4809760683,1623.3952613334,0.3250680439884296,0.6749319560115704,1329.5410718821,1635.84843851663,0.229341625175295,0.770658374824705,117,123,-1.2747782561169487,-0.832348503104289,-2.1541590441290337,0.9240626880548425,2018-10-17,SAC,UTA
10,1334.04489403255,1393.95694266203,0.5574365393640234,0.4425634606359766,1360.50233758638,1388.5098363069,0.612275864135613,0.387724135864387,121,100,-1.392253680338939,-0.5498329072935675,-1.8623002637268395,1.0828834317397686,2018-10-17,PHO,DAL
11,1505.83192253259,1566.55265175897,0.5562878064676057,0.4437121935323943,1434.01006074344,1587.06364218814,0.423451341107453,0.576548658892547,98,107,-0.41591625446685737,0.2655107376871907,-0.25241747013501137,1.3837445186421644,2018-10-17,LAC,DEN
12,1594.73250894812,1363.67426617485,0.8705380481532369,0.1294619518467631,1615.49538033065,1367.35970998754,0.87802986309312,0.12197013690688,127,108,-1.4565897003396808,-0.5634523706933529,-1.9242807177031038,0.8387870573575877,2018-10-18,PHI,CHI
13,1500.21341852382,1493.27641761586,0.6492123628011653,0.3507876371988346,1569.21068878644,1503.44697805015,0.76928514045426,0.23071485954574,112,113,-1.9524918495889552,-0.4559541951147397,-2.1908523685090486,0.9584098218129427,2018-10-18,WAS,MIA
14,1560.33701710092,1490.9930193546,0.7260796625585452,0.2739203374414548,1500.55765305218,1581.6049203149,0.52452716870136,0.47547283129864,128,119,-1.1721333216472256,-0.4065167878365009,-1.735823001257248,1.1088953738709184,2018-10-18,POR,LAL
15,1383.85379601963,1496.59222885143,0.4816761314812743,0.5183238685187257,1423.01116648588,1475.2907297115,0.562632321501123,0.437367678498877,88,120,-1.5554539901093272,-0.17653523295047255,-2.0952589483612067,0.7374666025737066,2018-10-19,ORL,CHO
16,1429.55446566599,1419.15283236063,0.6537407032636863,0.3462592967363137,1455.3417986307,1328.91091393533,0.776184162197802,0.223815837802198,107,105,-0.6388341696304585,-0.1557601210397023,-1.1274391368625944,0.8137193129039716,2018-10-19,BRK,NYK
17,1532.88657119501,1551.52567657102,0.6149933760242512,0.3850066239757488,1556.55885146174,1396.79417827572,0.814484451378286,0.185515548621714,131,123,-1.0435136180063183,-0.44113758145220755,-1.5306725509054335,1.1102898961445602,2018-10-19,MIN,CLE
18,1583.69341513354,1573.84937213462,0.6530137744700124,0.3469862255299876,1650.73882943296,1638.19430152853,0.652837856907045,0.347162143092955,113,101,-1.1157164179627757,-0.7293068263975712,-1.5565714537862523,1.3189254637487082,2018-10-19,TOR,BOS
19,1592.87989576361,1391.91703397877,0.8497295558717197,0.1502704441282802,1553.56553551639,1328.96408855119,0.867472568015532,0.132527431984468,149,129,-1.0025956118143073,-1.3966975702656401,-2.186661368971054,1.0401890902217898,2018-10-19,NOP,SAC
20,1362.00336029511,1378.46102010335,0.6179623496661685,0.3820376503338315,1440.62418221295,1377.20158427793,0.716764216352794,0.283235783647206,131,117,-0.8372460902602737,0.049062024980956805,-0.8040444938082164,0.9961992645001337,2018-10-19,MEM,ATL
